Competition	Year
Canadian Swimming Trials	2018
130. Internationale Deutsche Meisterschaften 2018	2018
Mel Zajac Jr. Internation	2018
The Cup of Moscow	2018
XXIII Juegos CAC-Barranquilla	2018
Southern Zone South Sectional	2018
LEN European Junior Championships	2018
Edinburgh International Swim Meet	2018
CA TROJ Los Angeles Invitational	2018
TYR Pro Swim Series at Santa Clara	2018
SE TNAQ Long Course Invitational	2018
14th Neo Garden Singapore National Swim Championships	2018
Victorian Open Championships	2018
Speedo Champions Series - Mount Hood	2018
Swim BC Senior Open	2018
Canadian Swimming Championships	2018
AON NZ Open Championships	2018
Speedo Junior National Championships	2018
Первенство России среди юниоров / Russian Junior Championships	2018
North Carolina Swimming Long Course Senior Championships	2018
Scottish National Open Championships	2018
YMCA Long Course National Championships	2018
GA ABSC Bulldog Grand Slam	2018
NC MAC Charlotte Ultraswim	2018
Speedo Champions Series - Spire	2018
SE AU Richard Quick Invitational	2018
SE NAC BridgeAthletic Summer Sizzler	2018
SE KP Kingsport Piranhas Long Course Finale	2018
Virginia Swimming Senior Long Course Championships	2018
Speedo Champions Series - Santa Clarita	2018
SE TNAQ Tennessee Invitational	2018
Speedo Champions Series - Iowa City	2018
XXXI CCCAN Swimming Championships	2018
Speedo Junior Nationals Time Trials	2018
AA-AAA Invitation Pointe-Claire Invitational	2018
Swiss Championships	2018
PC WCAB LCM SRII T&F	2018
South African National Aquatic Championship	2018
Pacific Northwest Swimming Senior Long Course Championships	2018
Indiana Senior State Long Course Championships	2018
Singapore National Age Group Swimming Championships	2018
GU KATY Senior Invite	2018
KY CARD Derby Pro Invite	2018
GU AGS Texas Senior Circuit Long Course	2018
Speedo Champions Series - Gainesville	2018
KY CARD Cardinal Aquatics Summer	2018
Swim Canada Junior Championships	2018
Belograd April Grand Prix	2018
Speedo Champions Series - Austin	2018
Potomac Valley Senior Championships	2018
USA Swimming Futures Championships (Santa Clara)	2018
Irish Summer National Championships	2018
New Zealand Age Group Championships	2018
2018 DOP	2018
WI LAKE Western Great Lakes Open	2018
